Date,Open,High,Low,Close,Adj Close,Volume
2006-10-16,3.334286,3.340000,3.135714,3.177143,3.177143,40025300
2006-10-23,3.181429,4.014286,3.150000,3.941429,3.941429,158297300
2006-10-30,3.952857,4.057143,3.742857,3.814286,3.814286,47315100
2006-11-06,3.828571,4.217143,3.821429,4.197143,4.197143,53298000
2006-11-13,4.220000,4.284286,4.120000,4.131429,4.131429,27189400
2006-11-20,4.131429,4.245714,4.114286,4.194286,4.194286,10850700
2006-11-27,4.172857,4.285714,4.074286,4.208571,4.208571,29455300
2006-12-04,4.200000,4.207143,3.897143,3.950000,3.950000,26380200
2006-12-11,4.037143,4.095714,3.827143,3.942857,3.942857,28230300
2006-12-18,3.942857,3.961429,3.734286,3.742857,3.742857,28255500
2006-12-25,3.734286,3.888572,3.692857,3.694286,3.694286,23616600
2007-01-01,3.714286,3.828571,3.492857,3.544286,3.544286,47590900
2007-01-08,3.545714,3.555714,3.241429,3.244286,3.244286,71705900
2007-01-15,3.464286,3.485714,3.167143,3.222857,3.222857,68789000
2007-01-22,3.264286,3.464286,3.042857,3.307143,3.307143,161314300
2007-01-29,3.180000,3.304286,3.151428,3.262857,3.262857,58559900
2007-02-05,3.285714,3.404286,3.165714,3.301429,3.301429,60008900
2007-02-12,3.290000,3.352857,3.171429,3.267143,3.267143,66955700
2007-02-19,3.278571,3.411429,3.275714,3.361428,3.361428,94250800
2007-02-26,3.387143,3.402857,3.071429,3.184286,3.184286,48122200
2007-03-05,3.144286,3.165714,2.981429,3.008571,3.008571,52840200
2007-03-12,3.000000,3.050000,2.900000,3.002857,3.002857,37411500
2007-03-19,3.015714,3.397143,3.011429,3.390000,3.390000,53573800
2007-03-26,3.392857,3.407143,3.268571,3.312857,3.312857,34122900
2007-04-02,3.328571,3.518571,3.312857,3.457143,3.457143,35697900
2007-04-09,3.461429,3.570000,3.451429,3.514286,3.514286,28286300
2007-04-16,3.528571,3.542857,2.982857,3.157143,3.157143,112655900
2007-04-23,3.147143,3.182857,3.051429,3.172857,3.172857,46532500
2007-04-30,3.171429,3.277143,3.117143,3.165714,3.165714,57802500
2007-05-07,3.165714,3.202857,3.091429,3.151428,3.151428,25844700
2007-05-14,3.144286,3.157143,3.031429,3.134286,3.134286,23805600
2007-05-21,3.130000,3.350000,3.122857,3.217143,3.217143,38343900
2007-05-28,3.151428,3.182857,3.048571,3.081429,3.081429,33951400
2007-06-04,3.055714,3.712857,3.030000,3.347143,3.347143,117989900
2007-06-11,3.178571,3.235714,2.721429,2.815714,2.815714,119075600
2007-06-18,2.917143,2.921429,2.787143,2.811429,2.811429,43943900
2007-06-25,2.821429,3.037143,2.765714,2.770000,2.770000,60489800
2007-07-02,2.785714,2.925714,2.767143,2.912857,2.912857,25607400
2007-07-09,2.928571,2.977143,2.841429,2.877143,2.877143,32785900
2007-07-16,2.891428,2.901428,2.800000,2.804286,2.804286,30984800
2007-07-23,2.577143,2.584286,2.231429,2.442857,2.442857,199129700
2007-07-30,2.444286,2.535714,2.362857,2.367143,2.367143,55424600
2007-08-06,2.460000,2.638572,2.357143,2.555714,2.555714,63548800
2007-08-13,2.571429,2.585714,2.382857,2.462857,2.462857,38507700
2007-08-20,2.498571,2.545714,2.398571,2.542857,2.542857,22818600
2007-08-27,2.534286,2.550000,2.417143,2.502857,2.502857,21704200
2007-09-03,2.568571,2.674286,2.501429,2.577143,2.577143,29560300
2007-09-10,2.572857,2.574286,2.438571,2.531429,2.531429,23768500
2007-09-17,2.621428,2.821429,2.598572,2.741429,2.741429,48563200
2007-09-24,2.742857,3.157143,2.728571,2.964286,2.964286,60860800
2007-10-01,2.957143,3.174286,2.941429,3.142857,3.142857,29110900
2007-10-08,3.110000,3.431429,3.085714,3.285714,3.285714,36541400
2007-10-15,3.414286,3.500000,3.228571,3.320000,3.320000,41207600
2007-10-22,3.250000,3.742857,3.157143,3.602857,3.602857,93433900
2007-10-29,3.677143,3.811429,3.642857,3.751429,3.751429,49947100
2007-11-05,3.721429,3.930000,3.518571,3.607143,3.607143,47476800
2007-11-12,3.592857,3.657143,3.250000,3.400000,3.400000,41350400
2007-11-19,3.367143,3.428571,3.037143,3.107143,3.107143,34585600
2007-11-26,3.107143,3.420000,3.061429,3.300000,3.300000,38003700
2007-12-03,3.428571,3.542857,3.292857,3.367143,3.367143,37860900
2007-12-10,3.370000,3.420000,3.215714,3.360000,3.360000,31252200
2007-12-17,3.330000,4.162857,3.281429,4.014286,4.014286,62948900
2007-12-24,4.014286,4.145714,3.755714,3.847143,3.847143,29328600
2007-12-31,3.850000,4.042857,3.478571,3.515714,3.515714,61485900
2008-01-07,3.530000,3.571429,3.097143,3.344286,3.344286,64745100
2008-01-14,3.408571,3.492857,2.958571,3.121428,3.121428,96357800
2008-01-21,3.032857,3.400000,2.907143,3.110000,3.110000,102290300
2008-01-28,3.162857,3.657143,3.080000,3.627143,3.627143,63886900
2008-02-04,3.627143,3.857143,3.544286,3.840000,3.840000,63554400
2008-02-11,3.851429,3.907143,3.722857,3.800000,3.800000,37130100
2008-02-18,3.761429,3.998571,3.682857,3.971429,3.971429,35506800
2008-02-25,3.958571,4.901429,3.957143,4.511428,4.511428,116634700
2008-03-03,4.535714,4.658571,4.307143,4.465714,4.465714,53717300
2008-03-10,4.571429,4.928571,4.500000,4.751429,4.751429,66199700
2008-03-17,4.687143,5.428571,4.618571,5.177143,5.177143,58337300
2008-03-24,5.334286,5.664286,5.020000,5.084286,5.084286,61825400
2008-03-31,5.167143,5.448571,4.840000,5.172857,5.172857,56168000
2008-04-07,5.231429,5.298572,5.015714,5.072857,5.072857,33211500
2008-04-14,5.142857,5.842857,5.064286,5.508572,5.508572,66715600
2008-04-21,5.508572,5.804286,4.207143,4.851429,4.851429,139512100
2008-04-28,4.740000,4.792857,4.334286,4.442857,4.442857,53561900
2008-05-05,4.464286,4.525714,4.247143,4.388571,4.388571,34918100
2008-05-12,4.385714,4.560000,4.222857,4.522857,4.522857,54730900
2008-05-19,4.505714,4.907143,4.302857,4.458571,4.458571,72414300
2008-05-26,4.460000,4.628572,4.258572,4.337143,4.337143,43372000
2008-06-02,4.334286,4.857143,4.334286,4.545714,4.545714,41435800
2008-06-09,4.545714,4.610000,4.314286,4.602857,4.602857,25593400
2008-06-16,4.571429,4.608572,4.252857,4.485714,4.485714,29790600
2008-06-23,4.500000,4.501429,3.758571,3.820000,3.820000,49665000
2008-06-30,3.787143,3.970000,3.720000,3.897143,3.897143,49780500
2008-07-07,3.928571,4.150000,3.770000,3.887143,3.887143,49098000
2008-07-14,3.901428,4.045714,3.842857,3.871428,3.871428,58403100
2008-07-21,3.861428,4.115714,3.810000,3.978571,3.978571,76423900
2008-07-28,4.000000,4.481429,3.972857,4.174286,4.174286,73896900
2008-08-04,4.237143,4.517143,4.214286,4.435714,4.435714,47191900
2008-08-11,4.405715,4.652857,4.324286,4.465714,4.465714,55523300
2008-08-18,4.475714,4.495714,4.271429,4.378572,4.378572,29566600
2008-08-25,4.348571,4.497143,4.262857,4.405715,4.405715,35274400
2008-09-01,4.452857,4.571429,4.075714,4.237143,4.237143,38466400
2008-09-08,4.310000,4.401429,3.940000,4.207143,4.207143,44980600
2008-09-15,4.168571,4.852857,3.924286,4.562857,4.562857,62019300
2008-09-22,4.485714,4.728571,4.364286,4.695714,4.695714,28854000
2008-09-29,4.617143,4.701428,4.044286,4.138571,4.138571,35477400
2008-10-06,3.714286,3.838571,3.071429,3.470000,3.470000,76556200
2008-10-13,3.608572,3.762857,3.098572,3.328571,3.328571,39510800
2008-10-20,3.434286,3.527143,2.694286,2.707143,2.707143,60065600
2008-10-27,2.712857,3.638572,2.557143,3.537143,3.537143,54574800
2008-11-03,3.502857,3.544286,3.037143,3.122857,3.122857,32951100
2008-11-10,3.171429,3.498571,2.934286,3.147143,3.147143,34428100
2008-11-17,3.155714,3.157143,2.604286,2.855714,2.855714,44403100
2008-11-24,2.872857,3.307143,2.845714,3.282857,3.282857,31824800
2008-12-01,3.171429,3.631428,3.112857,3.610000,3.610000,35942900
2008-12-08,3.571429,4.157143,3.508571,4.072857,4.072857,54679800
2008-12-15,3.928571,4.250000,3.902857,3.955714,3.955714,41480600
2008-12-22,4.038571,4.068572,3.831429,4.065714,4.065714,18910500
2008-12-29,4.105714,4.357143,3.928571,4.267143,4.267143,24789100
2009-01-05,4.327143,4.797143,4.302857,4.608572,4.608572,49105700
2009-01-12,4.601429,4.645714,4.111429,4.465714,4.465714,37457000
2009-01-19,4.428571,4.487143,4.188571,4.348571,4.348571,30277800
2009-01-26,4.342857,5.414286,4.158571,5.162857,5.162857,137228000
2009-02-02,5.080000,5.421429,5.080000,5.285714,5.285714,82553800
2009-02-09,5.262857,5.547143,4.972857,5.505714,5.505714,81197900
2009-02-16,5.430000,5.491428,5.185714,5.257143,5.257143,54714800
2009-02-23,5.265714,5.307143,4.985714,5.177143,5.177143,64318100
2009-03-02,5.057143,5.588572,4.858572,5.454286,5.454286,102180400
2009-03-09,5.458571,5.714286,5.214286,5.624286,5.624286,62836900
2009-03-16,5.668571,6.064286,5.444286,5.950000,5.950000,65515800
2009-03-23,5.950000,6.345714,5.630000,5.668571,5.668571,71026900
2009-03-30,5.644286,6.282857,5.578571,6.152857,6.152857,60797100
2009-04-06,6.141428,6.712857,6.100000,6.707143,6.707143,41111000
2009-04-13,6.707143,7.177143,6.517143,6.975714,6.975714,73334800
2009-04-20,6.968572,7.101429,6.011428,6.104286,6.104286,102557700
2009-04-27,6.277143,6.804286,6.231429,6.354286,6.354286,83358800
2009-05-04,6.360000,6.547143,5.398571,5.745714,5.745714,81382700
2009-05-11,5.648571,5.805714,5.178571,5.500000,5.500000,77349300
2009-05-18,5.570000,5.971428,5.430000,5.542857,5.542857,55946800
2009-05-25,5.514286,5.772857,5.382857,5.631429,5.631429,39209100
2009-06-01,5.712857,5.985714,5.521429,5.598571,5.598571,46396700
2009-06-08,5.550000,5.661428,5.292857,5.405715,5.405715,46444300
2009-06-15,5.351429,6.115714,5.292857,5.941429,5.941429,75872300
2009-06-22,5.907143,6.097143,5.574286,5.767143,5.767143,86234400
2009-06-29,5.797143,6.067143,5.672857,5.702857,5.702857,35664300
2009-07-06,5.641428,5.767143,5.418571,5.724286,5.724286,40084800
2009-07-13,5.714286,6.375714,5.694286,6.305714,6.305714,70011200
2009-07-20,6.358572,6.812857,5.984286,6.028572,6.028572,84423500
2009-07-27,6.015714,6.348571,5.821429,6.277143,6.277143,53629800
2009-08-03,6.335714,6.457143,6.200000,6.428571,6.428571,40279400
2009-08-10,6.411428,6.667143,6.311429,6.355714,6.355714,32785900
2009-08-17,6.255714,6.535714,6.072857,6.442857,6.442857,35693700
2009-08-24,6.474286,6.550000,6.124286,6.317143,6.317143,37641800
2009-08-31,6.305714,6.375714,5.610000,5.850000,5.850000,51167900
2009-09-07,5.900000,6.392857,5.828571,6.094285,6.094285,42256900
2009-09-14,6.078571,6.780000,5.982857,6.771429,6.771429,47455100
2009-09-21,6.667143,6.885714,6.571429,6.608572,6.608572,27684300
2009-09-28,6.591429,6.744286,6.328571,6.388571,6.388571,39720100
2009-10-05,6.428571,6.702857,6.394286,6.701428,6.701428,29817200
2009-10-12,6.711429,7.275714,6.562857,6.998571,6.998571,46349800
2009-10-19,7.121428,8.214286,6.794286,7.841429,7.841429,79779000
2009-10-26,7.965714,8.107142,7.571429,7.635714,7.635714,50910300
2009-11-02,7.597143,8.118571,7.514286,7.980000,7.980000,49762300
2009-11-09,7.948571,8.555715,7.928571,8.475715,8.475715,42859600
2009-11-16,8.508572,8.807143,8.331429,8.567142,8.567142,36164100
2009-11-23,8.642858,8.711429,7.815714,8.264286,8.264286,28622300
2009-11-30,8.278571,8.542857,7.871428,8.032857,8.032857,52128300
2009-12-07,8.140000,8.164286,7.822857,7.957143,7.957143,33308800
2009-12-14,8.055715,8.214286,7.571429,7.610000,7.610000,47940900
2009-12-21,7.604286,8.241428,7.578571,8.127143,8.127143,32071900
2009-12-28,8.102858,8.285714,7.864286,7.870000,7.870000,20773900
2010-01-04,7.931428,7.961429,7.197143,7.614286,7.614286,82419400
2010-01-11,7.660000,7.754286,7.232857,7.278572,7.278572,58252600
2010-01-18,7.250000,7.492857,7.214286,7.270000,7.270000,32998000
2010-01-25,7.292857,9.224286,6.931428,8.892858,8.892858,150439100
2010-02-01,8.830000,8.982857,8.468572,8.691428,8.691428,60043200
2010-02-08,8.705714,9.070000,8.571428,9.025714,9.025714,39578000
2010-02-15,9.088572,9.581429,9.061429,9.521428,9.521428,35675500
2010-02-22,9.577143,9.614285,9.014286,9.435715,9.435715,79691500
2010-03-01,9.431429,10.000000,9.374286,9.664286,9.664286,63053200
2010-03-08,9.712857,10.227143,9.688571,9.997143,9.997143,45815700
2010-03-15,9.997143,10.248571,9.880000,10.064285,10.064285,33399800
2010-03-22,10.050000,10.714286,10.007143,10.614285,10.614285,29372700
2010-03-29,10.700000,10.814285,10.517143,10.714286,10.714286,32556300
2010-04-05,10.797143,11.995714,10.795714,11.774285,11.774285,94776500
2010-04-12,11.757143,12.728572,11.650000,12.187143,12.187143,67882500
2010-04-19,12.178572,14.641429,11.824286,14.247143,14.247143,170457000
2010-04-26,14.348572,15.671429,13.971429,14.128572,14.128572,135386300
2010-05-03,14.280000,14.830000,12.857142,13.012857,13.012857,94465000
2010-05-10,13.747143,17.071428,13.572857,14.365714,14.365714,175427000
2010-05-17,14.495714,15.390000,12.972857,14.210000,14.210000,140934500
2010-05-24,14.482857,16.277143,13.857142,15.878572,15.878572,123012400
2010-05-31,15.608571,16.385714,14.970000,15.682858,15.682858,74394600
2010-06-07,15.685715,17.364286,15.321428,17.241428,17.241428,143531500
2010-06-14,17.628571,18.280001,17.145714,18.059999,18.059999,133190400
2010-06-21,18.005714,18.100000,16.071428,16.854286,16.854286,100310700
2010-06-28,16.952858,17.125713,14.752857,15.297143,15.297143,92065400
2010-07-05,15.628572,17.535715,15.184286,16.790001,16.790001,83266400
2010-07-12,16.850000,17.714285,16.728571,16.912857,16.912857,74404400
2010-07-19,16.824286,17.657143,14.535714,15.385715,15.385715,193043900
2010-07-26,15.501429,15.570000,13.618571,14.650000,14.650000,156383500
2010-08-02,14.860000,16.964285,14.104285,16.902857,16.902857,151667600
2010-08-09,16.857143,19.195715,16.171429,18.894285,18.894285,302941800
2010-08-16,18.805714,20.128571,17.655714,18.565714,18.565714,232710100
2010-08-23,18.642857,18.925714,17.092857,18.014286,18.014286,133037100
2010-08-30,17.892857,20.357143,17.401428,19.782858,19.782858,172731300
2010-09-06,19.701429,21.391428,19.657143,20.879999,20.879999,117814900
2010-09-13,21.344286,21.421429,20.002857,20.065714,20.065714,119660100
2010-09-20,20.285715,23.874287,20.002857,23.172857,23.172857,279236300
2010-09-27,22.928572,24.914286,21.972857,22.094286,22.094286,265399400
2010-10-04,21.860001,22.858572,21.150000,21.377142,21.377142,189092400
2010-10-11,21.534286,22.785715,21.461428,22.245714,22.245714,123036900
2010-10-18,22.344286,24.991428,21.049999,24.014286,24.014286,269954300
2010-10-25,24.175714,26.391428,23.580000,24.795713,24.795713,232344000
2010-11-01,24.850000,24.862858,23.671429,24.014286,24.014286,163346400
2010-11-08,23.832857,25.527143,23.608572,24.714285,24.714285,166178600
2010-11-15,24.561428,24.791430,23.367144,24.719999,24.719999,118524000
2010-11-22,25.867144,27.497143,25.857143,27.414286,27.414286,169008000
2010-11-29,27.715714,29.891428,26.371429,26.492857,26.492857,330197700
2010-12-06,26.701429,28.485714,25.912857,27.804285,27.804285,265273400
2010-12-13,27.507143,27.515715,25.080000,25.717142,25.717142,295577100
2010-12-20,25.828571,27.108572,25.219999,26.368572,26.368572,123771900
2010-12-27,25.735714,26.357143,25.075714,25.100000,25.100000,109109700
2011-01-03,25.000000,26.414286,24.785715,25.614286,25.614286,169967700
2011-01-10,25.671429,27.607143,25.597143,27.354286,27.354286,146774600
2011-01-17,27.352858,27.834286,25.900000,26.012857,26.012857,103460700
2011-01-24,25.712856,31.142857,25.152857,31.139999,31.139999,300125000
2011-01-31,30.442858,31.571428,29.750000,31.438572,31.438572,168591500
2011-02-07,31.827143,33.085712,30.877142,33.009998,33.009998,139810300
2011-02-14,33.668571,35.364285,33.055714,33.644287,33.644287,243715500
2011-02-21,32.195713,32.772858,29.341429,30.348572,30.348572,185404800
2011-02-28,30.549999,30.615715,28.621429,30.102858,30.102858,192833900
2011-03-07,30.675714,30.698572,26.984285,29.219999,29.219999,261237200
2011-03-14,29.032858,31.910000,28.402857,29.914286,29.914286,233270100
2011-03-21,30.264286,33.302856,29.650000,32.858570,32.858570,211506400
2011-03-28,33.357143,34.919998,33.334286,34.584286,34.584286,167794900
2011-04-04,34.975716,35.554287,33.004284,33.551430,33.551430,171290000
2011-04-11,33.254284,34.349998,32.058571,33.641430,33.641430,160118700
2011-04-18,33.144287,36.045715,32.574287,36.031429,36.031429,124331900
2011-04-25,36.387142,36.425713,32.164288,33.238571,33.238571,290472700
2011-05-02,34.031429,34.267143,32.185715,32.781429,32.781429,150700900
2011-05-09,33.114285,35.660000,33.051430,35.217144,35.217144,161046900
2011-05-16,35.142857,35.270000,33.015713,35.128571,35.128571,149013200
2011-05-23,34.717144,37.982857,34.285713,37.787144,37.787144,183768200
2011-05-30,38.178570,39.462856,37.731430,39.099998,39.099998,140319200
2011-06-06,39.052856,39.671429,36.831429,36.945713,36.945713,162267700
2011-06-13,37.111427,37.571430,34.894287,35.095715,35.095715,134741600
